Actual_Close,LSTM_Predicted
35655.27734375,35580.73
36693.125,35811.875
37313.96875,36360.31
37138.05078125,37057.16
37054.51953125,37501.07
36502.35546875,37658.97
35537.640625,37443.633
37880.58203125,36813.203
36154.76953125,37095.71
36596.68359375,36982.156
36585.703125,36945.56
37386.546875,36942.992
37476.95703125,37246.793
35813.8125,37589.074
37432.33984375,37224.34
37289.62109375,37318.89
37720.28125,37480.57
37796.79296875,37772.59
37479.12109375,38035.094
37254.16796875,38075.207
37831.0859375,37933.973
37858.4921875,37982.836
37712.74609375,38089.0
38688.75,38127.7
39476.33203125,38488.117
39978.390625,39125.42
41980.09765625,39823.195
44080.6484375,41044.176
43746.4453125,42810.15
43292.6640625,43976.75
44166.6015625,44280.527
43725.984375,44468.746
43779.69921875,44338.742
41243.83203125,44164.188
41450.22265625,43041.48
42890.7421875,42129.723
43023.97265625,42217.52
41929.7578125,42705.664
42240.1171875,42756.23
41364.6640625,42772.434
42623.5390625,42424.83
42270.52734375,42574.68
43652.25,42698.555
43869.15234375,43314.07
43997.90234375,43948.062
43739.54296875,44391.06
43016.1171875,44475.363
43613.140625,44093.49
42520.40234375,43920.496
43442.85546875,43445.11
42627.85546875,43421.598
42099.40234375,43245.246
42156.90234375,42889.97
42265.1875,42637.07
44167.33203125,42563.51
44957.96875,43336.344
42848.17578125,44433.297
44179.921875,44382.62
44162.69140625,44467.848
43989.1953125,44529.332
43943.09765625,44481.887
46970.50390625,44392.043
46139.73046875,45540.844
46627.77734375,46339.113
46368.5859375,46906.266
42853.16796875,47038.4
42842.3828125,45509.36
41796.26953125,44023.023
42511.96875,42723.184
43154.9453125,42308.195
42742.65234375,42645.758
41262.05859375,42992.406
41618.40625,42649.855
41665.5859375,42338.56
41545.78515625,42161.023
39507.3671875,42047.586
39845.55078125,41210.496
40077.07421875,40568.473
39933.80859375,40312.785
41816.87109375,40239.094
42120.0546875,40982.516
42035.59375,41859.484
43288.24609375,42425.207
42952.609375,43137.82
42582.60546875,43473.11
43075.7734375,43380.805
43185.859375,43346.48
42992.25,43376.07
42583.58203125,43341.34
42658.66796875,43141.74
43084.671875,42997.656
44318.22265625,43103.59
45301.56640625,43755.766
47147.19921875,44754.195
47771.27734375,46244.47
48293.91796875,47576.64
49958.22265625,48520.46
49742.44140625,49612.21
51826.6953125,50181.57
51938.5546875,51203.2
52160.203125,51979.37
51662.99609375,52427.83
52122.546875,52338.55
51779.14453125,52300.277
52284.875,52149.035
51839.1796875,52266.86
51304.97265625,52249.51
50731.94921875,51981.715
51571.1015625,51509.95
51733.23828125,51555.19
54522.40234375,51842.09
57085.37109375,53340.03
62504.7890625,55771.94
61198.3828125,59976.13
62440.6328125,62252.27
62029.84765625,63292.72
63167.37109375,63075.402
68330.4140625,62999.113
63801.19921875,65519.28
66106.8046875,65434.47
66925.484375,65678.24
68300.09375,66310.58
68498.8828125,67475.555
69019.7890625,68355.64
72123.90625,68969.516
71481.2890625,70784.055
73083.5,71718.836
71396.59375,72695.49
69403.7734375,72243.44
65315.1171875,70487.98
68390.625,67117.96
67548.59375,66627.29
61912.7734375,66971.72
67913.671875,64644.316
65491.390625,65723.14
63778.76171875,66163.06
64062.203125,65330.95
67234.171875,64614.355
69958.8125,65854.34
69987.8359375,68496.24
69455.34375,70266.88
70744.953125,70480.484
69892.828125,70626.25
69645.3046875,70143.04
71333.6484375,69536.33
69702.1484375,70080.51
65446.97265625,69887.51
65980.8125,67375.23
